id,pop
1000000US170310206023014,33
1000000US170310206024000,41
1000000US170310206024001,51
1000000US170310206024002,37
1000000US170310206024003,22
1000000US170310206024004,41
1000000US170310206024005,96
1000000US170310206024006,132
1000000US170310206024007,111
1000000US170310206024008,113
1000000US170310206024009,56
1000000US170310206024010,80
1000000US170310206024011,43
1000000US170310206024012,78
1000000US170310206024013,48
1000000US170310207011000,0
1000000US170310207011001,2
1000000US170310207011002,12
1000000US170310207011003,0
1000000US170310207011004,142
1000000US170310207011005,68
1000000US170310207011006,11
1000000US170310207011007,14
1000000US170310207011008,51
1000000US170310207011009,6
1000000US170310207011010,56
1000000US170310207011011,0
1000000US170310207011012,43
1000000US170310207011013,21
1000000US170310207011014,26
1000000US170310207011015,64
1000000US170310207011016,39
1000000US170310207011017,20
1000000US170310207011018,0
1000000US170310207011019,0
1000000US170310207011020,0
1000000US170310207011021,0
1000000US170310207011022,38
1000000US170310207011023,4
1000000US170310207011024,32
1000000US170310207011025,14
1000000US170310207011026,41
1000000US170310207011027,30
1000000US170310207011028,20
1000000US170310207011029,8
1000000US170310207011030,17
1000000US170310207011031,19
1000000US170310207011032,24
1000000US170310207011033,0
1000000US170310207012000,5
1000000US170310207012001,39
1000000US170310207012002,104
1000000US170310207012003,79
1000000US170310207012004,46
1000000US170310207012005,41
1000000US170310207012006,73
1000000US170310207012007,69
1000000US170310207012008,52
1000000US170310207012009,0
1000000US170310207012010,69
1000000US170310207012011,21
1000000US170310207012012,23
1000000US170310207012013,10
1000000US170310207012014,94
1000000US170310207012015,50
1000000US170310207012016,30
1000000US170310207012017,21
1000000US170310207012018,12
1000000US170310207012019,44
1000000US170310207021002,23
1000000US170310207021003,109
1000000US170310207021004,0
1000000US170310207021005,185
1000000US170310207021006,78
1000000US170310207021007,35
1000000US170310207021008,0
1000000US170310207021009,42
1000000US170310207021010,20
1000000US170310207021011,171
1000000US170310207021012,126
1000000US170310207021013,161
1000000US170310207021014,58
1000000US170310207021015,132
1000000US170310207021016,131
1000000US170310207021017,128
1000000US170310207021018,43
1000000US170310207021019,46
1000000US170310207021020,67
1000000US170310207021021,71
1000000US170310207021022,57
1000000US170310207021023,135
1000000US170310207021024,0
1000000US170310207022000,0
1000000US170310207022001,0
1000000US170310207022002,46
1000000US170310207022003,12
1000000US170310207022004,137
1000000US170310207022005,139
1000000US170310207022006,26
1000000US170310207022007,192
1000000US170310207022008,324
1000000US170310207022009,183
1000000US170310207022010,201
1000000US170310207022011,148
1000000US170310207022012,73
1000000US170310207022013,179
1000000US170310207022014,146
1000000US170310207022015,95
1000000US170310207022016,185
1000000US170310207022017,80
1000000US170310207022018,175
1000000US170310207022019,267
1000000US170310207023000,149
1000000US170310207023001,156
1000000US170310207023002,169
1000000US170310207023003,124
1000000US170310207023004,159
1000000US170310207023005,181
1000000US170310207023006,94
1000000US170310207023007,83
1000000US170310207023008,43
1000000US170310207023009,45
1000000US170310207023010,74
1000000US170310207023011,108
1000000US170310207023012,165
1000000US170310207023013,125
1000000US170310207023014,70
1000000US170310207023015,0
1000000US170310207023016,0
1000000US170310207024000,106
1000000US170310207024001,43
1000000US170310207024002,63
1000000US170310207024003,124
1000000US170310207024004,47
1000000US170310207024005,46
1000000US170310207024006,61
1000000US170310207024007,66
1000000US170310207024008,120
1000000US170310207024009,119
1000000US170310207024010,68
1000000US170310207024011,69
1000000US170310207024012,91
1000000US170310207024013,0
1000000US170310207024014,0
1000000US170310207024015,0
1000000US170310207024016,0
1000000US170310208011000,17
1000000US170310208011001,160
1000000US170310208011002,151
1000000US170310208011003,111
1000000US170310208011004,116
1000000US170310208011005,111
1000000US170310208011006,138
1000000US170310208011007,80
1000000US170310208011008,57
1000000US170310208011009,73
1000000US170310208011010,58
1000000US170310208011011,90
1000000US170310208011012,103
1000000US170310208011013,84
1000000US170310208011014,127
1000000US170310208011015,24
1000000US170310208011016,37
1000000US170310208011017,11
1000000US170310208011018,0
1000000US170310208011019,97
1000000US170310208012000,15
1000000US170310208012001,16
1000000US170310208012002,14
1000000US170310208012003,0
1000000US170310208012004,41
1000000US170310208012005,55
1000000US170310208012006,105
1000000US170310208012007,57
1000000US170310208012008,55
1000000US170310208012009,44
1000000US170310208012010,79
1000000US170310208012011,58
1000000US170310208012012,68
1000000US170310208012013,49
1000000US170310208012014,45
1000000US170310208012015,55
1000000US170310208012016,67
1000000US170310208012017,69
1000000US170310208012018,51
1000000US170310208012019,109
1000000US170310208013000,124
1000000US170310208013001,112
1000000US170310208013002,94
1000000US170310208013003,148
1000000US170310208013004,89
1000000US170310208013005,105
1000000US170310208013006,48
1000000US170310208013007,46
1000000US170310208013008,104
1000000US170310208013009,45
1000000US170310208013010,61
1000000US170310208013011,0
1000000US170310208013012,58
1000000US170310208013013,7
1000000US170310208013014,0
1000000US170310208013015,1
1000000US170310208013016,28
1000000US170310208013017,20
1000000US170310208013018,2
1000000US170310208013019,78
1000000US170310208014000,0
1000000US170310208014001,0
1000000US170310208014002,35
1000000US170310208014003,0
1000000US170310208014004,0
1000000US170310208014005,86
1000000US170310208014006,95
1000000US170310208014007,91
1000000US170310208014008,92
1000000US170310208014009,59
1000000US170310208014010,97
1000000US170310208014011,135
1000000US170310208014012,85
1000000US170310208014013,120
1000000US170310208014014,102
1000000US170310208014015,120
1000000US170310208014016,155
1000000US170310208014017,142
1000000US170310208014018,161
1000000US170310208014019,16
1000000US170310208021000,0
1000000US170310208021001,105
1000000US170310208021002,135
1000000US170310208021003,127
1000000US170310208021004,137
1000000US170310208021005,48
1000000US170310208021006,43
1000000US170310208021007,56
1000000US170310208021008,62
1000000US170310208021009,59
1000000US170310208021010,48
1000000US170310208021011,34
1000000US170310208021012,54
1000000US170310208021013,60
1000000US170310208021014,51
1000000US170310208021015,0
1000000US170310208021016,0
1000000US170310208021017,23
1000000US170310208021018,0
1000000US170310208021019,0
1000000US170310208022000,175
1000000US170310208022001,143
1000000US170310208022002,205
1000000US170310208022003,174
1000000US170310208022004,165
1000000US170310208022005,178
1000000US170310208022006,0
1000000US170310208022007,0
1000000US170310208022008,85
1000000US170310208022009,122
1000000US170310208022010,2
1000000US170310208022011,6
1000000US170310208022012,127
1000000US170310208022013,133
