CENSUS BLOCK,Pop
0208022008,85
0208022009,122
0208022010,2
0208022011,6
0208022012,127
0208022013,133
0208022014,124
0208022015,0
0208022016,157
0208023000,0
0208023001,72
0208023002,46
0208023003,28
0208023004,3
0208023005,152
0208023006,226
0208023007,107
0208023008,126
0208023009,174
0208023010,267
0208023011,242
0208023012,218
0208023013,214
0208023014,167
0208023015,113
0208023016,150
0208023017,28
0208023018,58
0208023019,168
0208024000,0
0208024001,0
0208024002,20
0208024003,13
0208024004,257
0208024005,177
0208024006,78
0208024007,6
0208024008,214
0208024009,141
0208024010,54
0208024011,56
0208024012,0
0208024013,71
0208024014,146
0208024015,96
0208024016,49
0208024017,62
0208024018,40
0208024019,38
0208024020,48
0209011000,860
0209011001,0
0209011002,37
0209011003,54
0209011004,35
0209011005,80
0209011006,109
0209011007,153
0209011008,138
0209011009,179
0209011010,165
0209011011,142
0209011012,0
0209011013,137
0209012000,144
0209012001,105
0209012002,32
0209012003,35
0209012004,114
0209012005,60
0209012006,51
0209012007,73
0209012008,143
0209012009,104
0209013000,57
0209013001,257
0209013002,197
0209013003,220
0209013004,229
0209013005,191
0209013006,33
0209013007,0
0209013008,112
0209013009,198
0209013010,180
0209013011,80
0209013012,92
0209013013,120
0209013014,3
0209013015,2
0209013016,5
0209013017,118
0209013018,116
0209013019,61
0209021000,0
0209021001,0
0209021002,137
0209021003,48
0209021004,50
0209021005,118
0209021006,223
0209021007,24
0209021008,140
0209021009,0
0209021010,0
0209021011,0
0209021012,0
0209021013,236
0209021014,169
0209021015,149
0209021016,241
0209021017,36
0209021018,135
0209021019,75
0209021020,58
0209021021,38
0209021022,333
0209021023,0
0209021024,0
0209021025,0
0209021026,53
0209021027,9
0209022000,80
0209022001,151
0209022002,302
0209022003,294
0209022004,212
0209022005,186
0209022006,14
0209022007,159
0209022008,157
0209022009,220
0209022010,78
0209022011,108
0209022012,53
0301011000,33
0301011001,465
0301011002,475
0301011003,9
0301012000,507
0301013000,619
0301013001,532
0301014001,759
0301014002,494
0301021001,413
0301021002,607
0301022000,440
0301022001,400
0301022002,6
0301022003,48
0301022004,113
0301023000,523
0301023001,258
0301023002,396
0301031000,433
0301031001,0
0301031002,217
0301031003,0
0301031004,154
0301032001,74
0301032002,0
0301032003,371
0301032004,295
0301032005,384
0301041001,730
0301041002,259
0301041003,227
0301041004,264
0301041005,750
0301041006,638
0301041007,0
0301041008,0
0301041009,0
0301042000,580
0301042001,233
0302001000,20
0302001001,125
0302001002,173
0302001003,165
0302001004,94
0302001005,121
0302001006,198
0302001007,54
0302001008,53
0302001009,53
0302001010,130
0302001011,90
0302001012,54
0302001013,87
0302001014,30
0302001015,65
0302001016,82
0302001017,74
0302001018,89
0302002000,0
0302002001,153
0302002002,76
0302002003,144
0302002004,62
0302002005,115
0302002006,122
0302002007,20
0302002008,14
0302002009,82
0302002010,104
0302002011,128
0302002012,5
0302002013,160
0302002014,51
0302002015,79
0302003000,50
0302003001,86
0302003002,64
0302003003,40
0302003004,60
0302003005,48
0302003006,40
0302003007,60
0302003008,57
0302003009,42
0302003010,30
0302003011,54
0302003012,52
0302003013,38
0302003014,62
0302003015,226
0302004000,16
0302004001,52
0302004002,77
0302004003,22
0302004004,58
0302004005,61
0302004006,71
0302004007,72
0302004008,98
0302004009,16
0302004010,88
0302004011,101
0302004012,85
0302004013,85
0302004014,28
0302004015,68
0302004016,120
0302004017,76
0302004018,73
0302004019,14
0302004020,7
0302004021,0
0303001000,40
0303001001,106
0303001002,0
0303001003,94
0303001004,76
